TID,SDate,TName,SStationID,AStationID,STime,ATime
281,2019-12-09,C5007               ,1599,1621,2019-12-09 15:42:00,2019-12-09 16:49:00
282,2019-12-10,C5007               ,1599,1621,2019-12-10 15:42:00,2019-12-10 16:49:00
283,2019-12-11,C5007               ,1599,1621,2019-12-11 15:42:00,2019-12-11 16:49:00
284,2019-12-12,C5007               ,1599,1621,2019-12-12 15:42:00,2019-12-12 16:49:00
285,2019-12-13,C5007               ,1599,1621,2019-12-13 15:42:00,2019-12-13 16:49:00
286,2019-12-14,C5007               ,1599,1621,2019-12-14 15:42:00,2019-12-14 16:49:00
287,2019-12-15,C5007               ,1599,1621,2019-12-15 15:42:00,2019-12-15 16:49:00
288,2019-12-16,C5007               ,1599,1621,2019-12-16 15:42:00,2019-12-16 16:49:00
289,2019-12-17,C5007               ,1599,1621,2019-12-17 15:42:00,2019-12-17 16:49:00
290,2019-12-18,C5007               ,1599,1621,2019-12-18 15:42:00,2019-12-18 16:49:00
291,2019-12-19,C5007               ,1599,1621,2019-12-19 15:42:00,2019-12-19 16:49:00
292,2019-12-20,C5007               ,1599,1621,2019-12-20 15:42:00,2019-12-20 16:49:00
293,2019-12-21,C5007               ,1599,1621,2019-12-21 15:42:00,2019-12-21 16:49:00
